[F2](==,||);BATT
23:47:47;3236;7823,30
23:48:07;3260;7881,32
23:48:27;3260;7881,32
23:48:47;3262;7886,15
23:49:08;3259;7878,90
23:49:28;3259;7878,90
23:49:48;3261;7883,74
23:50:08;3261;7883,74
23:50:28;3260;7881,32
23:50:48;3260;7881,32
23:51:08;3258;7876,48
23:51:28;3259;7878,90
23:51:48;3259;7878,90
23:52:08;3261;7883,74
23:52:28;3261;7883,74
23:52:48;3260;7881,32
23:53:08;3260;7881,32
23:53:28;3262;7886,15
23:53:48;3260;7881,32
23:54:08;3261;7883,74
23:54:28;3261;7883,74
23:54:48;3259;7878,90
23:55:08;3259;7878,90
23:55:28;3259;7878,90
23:55:48;3259;7878,90
23:56:08;3259;7878,90
23:56:28;3259;7878,90
23:56:48;3258;7876,48
23:57:08;3259;7878,90
23:57:28;3260;7881,32
23:57:48;3259;7878,90
23:58:08;3260;7881,32
23:58:28;3259;7878,90
23:58:48;3260;7881,32
23:59:08;3258;7876,48
23:59:28;3259;7878,90
23:59:48;3257;7874,07
00:00:08;3259;7878,90
00:00:28;3259;7878,90
00:00:48;3258;7876,48
00:01:08;3257;7874,07
00:01:28;3257;7874,07
00:01:48;3257;7874,07
00:02:08;3257;7874,07
00:02:28;3258;7876,48
00:02:48;3257;7874,07
00:03:08;3257;7874,07
00:03:28;3257;7874,07
00:03:48;3259;7878,90
00:04:08;3258;7876,48
00:04:28;3256;7871,65
00:04:48;3257;7874,07
00:05:08;3257;7874,07
00:05:28;3257;7874,07
00:05:48;3257;7874,07
00:06:08;3256;7871,65
00:06:28;3257;7874,07
00:06:48;3258;7876,48
00:07:08;3257;7874,07
00:07:28;3256;7871,65
00:07:48;3258;7876,48
00:08:08;3256;7871,65
00:08:28;3256;7871,65
00:08:48;3257;7874,07
00:09:08;3256;7871,65
00:09:28;3257;7874,07
00:09:48;3256;7871,65
00:10:08;3255;7869,23
00:10:28;3256;7871,65
00:10:48;3256;7871,65
00:11:08;3256;7871,65
00:11:28;3254;7866,81
00:11:48;3254;7866,81
00:12:08;3254;7866,81
00:12:28;3256;7871,65
00:12:48;3255;7869,23
00:13:08;3253;7864,40
00:13:28;3254;7866,81
00:13:48;3255;7869,23
00:14:08;3256;7871,65
00:14:28;3255;7869,23
00:14:48;3255;7869,23
00:15:08;3254;7866,81
00:15:28;3252;7861,98
00:15:48;3255;7869,23
00:16:08;3255;7869,23
00:16:28;3253;7864,40
00:16:48;3253;7864,40
00:17:08;3254;7866,81
00:17:28;3255;7869,23
00:17:48;3255;7869,23
00:18:08;3255;7869,23
00:18:28;3252;7861,98
00:18:48;3255;7869,23
00:19:08;3254;7866,81
00:19:28;3253;7864,40
00:19:48;3252;7861,98
00:20:08;3254;7866,81
00:20:28;3253;7864,40
00:20:48;3254;7866,81
00:21:08;3252;7861,98
00:21:28;3250;7857,14
00:21:48;3251;7859,56
00:22:08;3251;7859,56
00:22:28;3249;7854,73
00:22:48;3253;7864,40
00:23:08;3252;7861,98
00:23:28;3254;7866,81
00:23:48;3252;7861,98
00:24:08;3251;7859,56
00:24:28;3254;7866,81
00:24:48;3252;7861,98
00:25:08;3249;7854,73
00:25:28;3251;7859,56
00:25:48;3248;7852,31
00:26:08;3251;7859,56
00:26:28;3251;7859,56
00:26:48;3251;7859,56
00:27:08;3247;7849,89
00:27:28;3249;7854,73
00:27:48;3249;7854,73
00:28:08;3249;7854,73
00:28:28;3247;7849,89
00:28:48;3247;7849,89
00:29:08;3249;7854,73
00:29:28;3251;7859,56
00:29:48;3247;7849,89
00:30:08;3247;7849,89
00:30:28;3247;7849,89
00:30:48;3246;7847,47
00:31:08;3249;7854,73
00:31:28;3247;7849,89
00:31:48;3246;7847,47
00:32:08;3247;7849,89
00:32:28;3247;7849,89
00:32:48;3247;7849,89
00:33:08;3247;7849,89
00:33:28;3248;7852,31
00:33:48;3246;7847,47
00:34:08;3248;7852,31
00:34:28;3246;7847,47
00:34:48;3249;7854,73
00:35:08;3248;7852,31
00:35:28;3246;7847,47
00:35:48;3244;7842,64
00:36:08;3245;7845,06
00:36:28;3244;7842,64
00:36:48;3244;7842,64
00:37:08;3246;7847,47
00:37:28;3246;7847,47
00:37:48;3246;7847,47
00:38:08;3246;7847,47
00:38:28;3246;7847,47
00:38:48;3245;7845,06
00:39:08;3246;7847,47
00:39:28;3244;7842,64
00:39:48;3244;7842,64
00:40:08;3243;7840,22
00:40:28;3244;7842,64
00:40:48;3247;7849,89
00:41:08;3243;7840,22
00:41:28;3243;7840,22
00:41:48;3243;7840,22
00:42:08;3245;7845,06
00:42:28;3242;7837,80
00:42:48;3243;7840,22
00:43:08;3243;7840,22
00:43:28;3244;7842,64
00:43:48;3244;7842,64
00:44:08;3246;7847,47
00:44:28;3244;7842,64
00:44:48;3244;7842,64
00:45:08;3242;7837,80
00:45:28;3243;7840,22
00:45:48;3245;7845,06
00:46:08;3244;7842,64
00:46:28;3245;7845,06
00:46:49;3243;7840,22
00:47:09;3243;7840,22
00:47:29;3241;7835,38
00:47:48;3244;7842,64
00:48:08;3242;7837,80
00:48:28;3242;7837,80
00:48:48;3242;7837,80
00:49:08;3241;7835,38
00:49:28;3242;7837,80
00:49:48;3241;7835,38
00:50:08;3242;7837,80
00:50:28;3242;7837,80
00:50:48;3242;7837,80
00:51:08;3242;7837,80
00:51:28;3241;7835,38
00:51:48;3242;7837,80
00:52:08;3240;7832,97
00:52:28;3243;7840,22
